vehicle_type,year_month,YoY_Growth_%,QoQ_Growth_%
2W,2020-01-01 00:00:00,,
4W,2020-01-01 00:00:00,,
2W,2020-02-01 00:00:00,,
4W,2020-02-01 00:00:00,,
2W,2020-03-01 00:00:00,,
4W,2020-03-01 00:00:00,,
2W,2020-04-01 00:00:00,,13.396026992601428
4W,2020-04-01 00:00:00,,13.394333884650278
2W,2020-05-01 00:00:00,,12.920721422083826
4W,2020-05-01 00:00:00,,12.923084782997417
2W,2020-06-01 00:00:00,,12.482890774705723
4W,2020-06-01 00:00:00,,12.483770608265354
2W,2020-07-01 00:00:00,,12.0787725252139
4W,2020-07-01 00:00:00,,12.078010680593776
2W,2020-08-01 00:00:00,,11.69968286068852
4W,2020-08-01 00:00:00,,11.695244989367959
2W,2020-09-01 00:00:00,,11.343171309099764
4W,2020-09-01 00:00:00,,11.342204412309176
2W,2020-10-01 00:00:00,,11.0116001364722
4W,2020-10-01 00:00:00,,11.007325622887842
2W,2020-11-01 00:00:00,,10.698487809896108
4W,2020-11-01 00:00:00,,10.697504860661056
2W,2020-12-01 00:00:00,,-26.39192465127369
4W,2020-12-01 00:00:00,,-26.392176039119807
2W,2021-01-01 00:00:00,10.002981110599208,-22.032270457164817
4W,2021-01-01 00:00:00,10.001067065037606,-22.028930698685823
2W,2021-02-01 00:00:00,9.998702478266509,-21.219217544837843
4W,2021-02-01 00:00:00,10.000766342248447,-21.215558564162606
2W,2021-03-01 00:00:00,9.999253415623532,19.320267789655542
4W,2021-03-01 00:00:00,9.999755028049284,19.321322278911566
2W,2021-04-01 00:00:00,10.00191195449549,13.394924858339486
4W,2021-04-01 00:00:00,10.00070576610912,13.393961440523828
2W,2021-05-01 00:00:00,10.001378866571686,12.923468906294232
4W,2021-05-01 00:00:00,10.00316699090622,12.925549208118525
2W,2021-06-01 00:00:00,10.000221243832819,12.48388045519333
4W,2021-06-01 00:00:00,10.000653352788724,12.484689218983135
2W,2021-07-01 00:00:00,10.000852951211181,12.077693527711997
4W,2021-07-01 00:00:00,9.999790096765393,12.077077719320762
2W,2021-08-01 00:00:00,10.001028700750947,11.699327288680905
4W,2021-08-01 00:00:00,10.000810110174974,11.69285185489841
2W,2021-09-01 00:00:00,9.998807773317964,11.341740582071246
4W,2021-09-01 00:00:00,9.99902200488998,11.340553168742208
2W,2021-10-01 00:00:00,10.000000000000009,11.010739347885078
4W,2021-10-01 00:00:00,10.002836343008426,11.010399771014212
2W,2021-11-01 00:00:00,9.999070718334725,10.696517412935314
4W,2021-11-01 00:00:00,10.00219547001353,10.698898994734328
2W,2021-12-01 00:00:00,9.993521218011004,-26.39546226381011
4W,2021-12-01 00:00:00,9.996811224489788,-26.393655422586548
2W,2022-01-01 00:00:00,9.093372751909335,-22.674885621485696
4W,2022-01-01 00:00:00,9.091790954286406,-22.674688440051572
2W,2022-02-01 00:00:00,9.092195904501278,-21.868716735659376
4W,2022-02-01 00:00:00,9.091542427197986,-21.867775467775463
2W,2022-03-01 00:00:00,9.092554467093494,18.342904825013505
4W,2022-03-01 00:00:00,9.090706634300606,18.338406532347683
2W,2022-04-01 00:00:00,9.090316553327394,13.391748153835724
4W,2022-04-01 00:00:00,9.091492364942887,13.393651075938106
2W,2022-05-01 00:00:00,9.094137801362145,12.925479001773276
4W,2022-05-01 00:00:00,9.08941350662169,12.923345466930636
2W,2022-06-01 00:00:00,9.095114543735793,12.48652011613438
4W,2022-06-01 00:00:00,9.091449048684396,12.485454731040125
2W,2022-07-01 00:00:00,9.091614003799474,12.079026508135659
4W,2022-07-01 00:00:00,9.08882740196546,12.074339822384283
2W,2022-08-01 00:00:00,9.089888901357867,11.69497692410808
4W,2022-08-01 00:00:00,9.09341974444895,11.696953702307344
2W,2022-09-01 00:00:00,9.09173019256475,11.338286536015186
4W,2022-09-01 00:00:00,9.09187901203834,11.34099199651548
2W,2022-10-01 00:00:00,9.09265532776866,11.01179899068876
4W,2022-10-01 00:00:00,9.093253115599476,11.014903442485302
2W,2022-11-01 00:00:00,9.093520317648052,10.700202311147677
4W,2022-11-01 00:00:00,9.092723492723497,10.69819249658246
2W,2022-12-01 00:00:00,9.090462867520731,-26.39631733205279
4W,2022-12-01 00:00:00,9.090689471904145,-26.394458027709867
2W,2023-01-01 00:00:00,8.333145141256981,-23.21322811454548
4W,2023-01-01 00:00:00,8.331851324915519,-23.214370125265894
2W,2023-02-01 00:00:00,8.336577137667046,-22.410829061285177
4W,2023-02-01 00:00:00,8.335994209932519,-22.409745090864742
2W,2023-03-01 00:00:00,8.33471588552468,17.52305961754781
4W,2023-03-01 00:00:00,8.335204654486073,17.518878579179308
2W,2023-04-01 00:00:00,8.334827029933688,13.393508578099267
4W,2023-04-01 00:00:00,8.33382344292184,13.395715341048998
2W,2023-05-01 00:00:00,8.332216243129897,12.92093338922491
4W,2023-05-01 00:00:00,8.330191524656904,12.91729707425382
2W,2023-06-01 00:00:00,8.331336074187412,12.483010777388536
4W,2023-06-01 00:00:00,8.331972196511849,12.482098439737687
2W,2023-07-01 00:00:00,8.333925652143016,12.07809397749835
4W,2023-07-01 00:00:00,8.335082563671993,12.07564241766197
2W,2023-08-01 00:00:00,8.33247608270753,11.695244829414886
4W,2023-08-01 00:00:00,8.33206757463758,11.69888805749386
2W,2023-09-01 00:00:00,8.334023281614812,11.341048332198778
4W,2023-09-01 00:00:00,8.334148329258362,11.343228573343156
2W,2023-10-01 00:00:00,8.32999855937766,11.007774825312477
4W,2023-10-01 00:00:00,8.330575907980787,11.010285308317048
2W,2023-11-01 00:00:00,8.33242987904037,10.700155097648212
4W,2023-11-01 00:00:00,8.331808757165504,10.69792802617231
2W,2023-12-01 00:00:00,8.335208098987623,-26.395512350207873
4W,2023-12-01 00:00:00,8.333148791992384,-26.395137143974846
2W,2024-01-01 00:00:00,7.690062746242532,-23.666829203422136
4W,2024-01-01 00:00:00,7.69514897808421,-23.664766115894807
2W,2024-02-01 00:00:00,7.6930754336586915,-22.868743477204166
4W,2024-02-01 00:00:00,7.690645078891012,-22.868964352562028
2W,2024-03-01 00:00:00,7.689657152702001,16.82275983802306
4W,2024-03-01 00:00:00,7.693902163262223,16.825429272281276
2W,2024-04-01 00:00:00,7.691742039855876,13.39527680991095
4W,2024-04-01 00:00:00,7.6927252985884875,13.393163370298389
2W,2024-05-01 00:00:00,7.6913558423192585,12.919130321958816
4W,2024-05-01 00:00:00,7.6965910870586685,12.923531665663134
2W,2024-06-01 00:00:00,7.688904016337639,12.482224118316276
4W,2024-06-01 00:00:00,7.692823158882267,12.480971461566725
2W,2024-07-01 00:00:00,7.6928123872322285,12.07920792079209
4W,2024-07-01 00:00:00,7.693798136696106,12.076758918519271
2W,2024-08-01 00:00:00,7.694742506251395,11.698757407133819
4W,2024-08-01 00:00:00,7.692787038479509,11.694942640168037
2W,2024-09-01 00:00:00,7.692895573489844,11.345175258383634
4W,2024-09-01 00:00:00,7.693002121481118,11.343413602140506
2W,2024-10-01 00:00:00,7.693898961242374,11.008894845863292
4W,2024-10-01 00:00:00,7.691412613451254,11.007826321628844
2W,2024-11-01 00:00:00,7.692967532560369,10.698330590171645
4W,2024-11-01 00:00:00,7.693823268643474,10.698993172086556
2W,2024-12-01 00:00:00,7.6918284705638,-26.39624167932214
4W,2024-12-01 00:00:00,7.692150449713808,-26.39571923549793
2W,2025-01-01 00:00:00,7.14285714285714,-24.05740628944625
4W,2025-01-01 00:00:00,7.1414961320071635,-24.05456509994598
2W,2025-02-01 00:00:00,7.1435191192007474,-23.26226635514018
4W,2025-02-01 00:00:00,7.143248125239476,-23.263289948251533
2W,2025-03-01 00:00:00,7.145904436860073,16.23054821728147
4W,2025-03-01 00:00:00,7.1407324456264964,16.227245980676884
2W,2025-04-01 00:00:00,7.145783543871631,13.398373983739841
4W,2025-04-01 00:00:00,7.144897581959642,13.3967632936155
2W,2025-05-01 00:00:00,7.14203640780684,12.917567684456355
4W,2025-05-01 00:00:00,7.140087251575378,12.920200265658522
2W,2025-06-01 00:00:00,7.1446632320869785,12.480921096290398
4W,2025-06-01 00:00:00,7.144857196191889,12.485301802978842
2W,2025-07-01 00:00:00,7.140246131351291,12.073415543447098
4W,2025-07-01 00:00:00,7.144142253141017,12.075968822044135
2W,2025-08-01 00:00:00,7.143486950387956,11.700269640887374
4W,2025-08-01 00:00:00,7.144717046638127,11.69976926209111
2W,2025-09-01 00:00:00,7.1433640376399765,11.343825130164165
4W,2025-09-01 00:00:00,7.143455907007934,11.341957402325885
2W,2025-10-01 00:00:00,7.144229186103956,11.013021721824167
4W,2025-10-01 00:00:00,7.144786601836839,11.008493905937344
2W,2025-11-01 00:00:00,7.140771028037385,10.69552455801066
4W,2025-11-01 00:00:00,7.14285714285714,10.69707157033497
2W,2025-12-01 00:00:00,7.148228851308347,-26.392899721817464
4W,2025-12-01 00:00:00,7.1465178520585315,-26.39361577279662
